date,tau,m,IV
2019-01-02,0.0273972602739726,-0.5108256237659907,0.42909071058725584
2019-01-02,0.0273972602739726,-0.2231435513142097,0.362700548124386
2019-01-02,0.0273972602739726,-0.10536051565782628,0.35123858725163254
2019-01-02,0.0273972602739726,-0.05129329438755058,0.3490354368893526
2019-01-02,0.0273972602739726,-0.025317807984289897,0.3486613461963434
2019-01-02,0.0273972602739726,0.0,0.3487241824892828
2019-01-02,0.0273972602739726,0.024692612590371414,0.349191939986312
2019-01-02,0.0273972602739726,0.04879016416943205,0.3500354235590073
2019-01-02,0.0273972602739726,0.09531017980432493,0.3527450837775696
2019-01-02,0.0273972602739726,0.1823215567939546,0.36163765320626345
2019-01-02,0.0273972602739726,0.26236426446749106,0.3742193435603295
2019-01-02,0.0273972602739726,0.4054651081081644,0.4072236405037754
2019-01-02,0.0273972602739726,0.5596157879354227,0.45785894216939504
2019-01-02,0.0273972602739726,0.6931471805599453,0.5143656930199401
2019-01-02,0.0821917808219178,-0.5108256237659907,0.41174282638081
2019-01-02,0.0821917808219178,-0.2231435513142097,0.3471879220249616
2019-01-02,0.0821917808219178,-0.10536051565782628,0.3364773540673652
2019-01-02,0.0821917808219178,-0.05129329438755058,0.33461912372500424
2019-01-02,0.0821917808219178,-0.025317807984289897,0.3344107427739999
2019-01-02,0.0821917808219178,0.0,0.33463509317158674
2019-01-02,0.0821917808219178,0.024692612590371414,0.335260376360272
2019-01-02,0.0821917808219178,0.04879016416943205,0.33625758945291245
2019-01-02,0.0821917808219178,0.09531017980432493,0.3392640225468405
2019-01-02,0.0821917808219178,0.1823215567939546,0.34871167812901754
2019-01-02,0.0821917808219178,0.26236426446749106,0.36180399824500736
2019-01-02,0.0821917808219178,0.4054651081081644,0.39572120220825785
2019-01-02,0.0821917808219178,0.5596157879354227,0.44733990295205
2019-01-02,0.0821917808219178,0.6931471805599453,0.5046985128314438
2019-01-02,0.1643835616438356,-0.5108256237659907,0.38667707132914153
2019-01-02,0.1643835616438356,-0.2231435513142097,0.3248750541338253
2019-01-02,0.1643835616438356,-0.10536051565782628,0.3152915755489645
2019-01-02,0.1643835616438356,-0.05129329438755058,0.31395072523648193
2019-01-02,0.1643835616438356,-0.025317807984289897,0.31399090889848486
2019-01-02,0.1643835616438356,0.0,0.3144575304530429
2019-01-02,0.1643835616438356,0.024692612590371414,0.31531910217921233
2019-01-02,0.1643835616438356,0.04879016416943205,0.3165469095517705
