epoch,train_loss,train_mae,train_kl,train_tv,train_arb,val_mae,val_kl,lr,beta
1,5.721798432223937,0.15019123343860402,111.40360882702996,0.08872784279725131,0.04123358757180326,0.13790415227413177,696.6138000488281,0.001,0.05
2,1.0094009672894197,0.11884023555937935,8.52144162795123,0.12656793480410294,0.060522624894100076,0.10183896124362946,72.19951820373535,0.001,0.1
3,1.118299747214598,0.09061847495682099,6.154072789584889,0.05965806500000112,0.02961301091401016,0.09626174531877041,1.6922730207443237,0.001,0.15
4,1.1454879185732674,0.07801195365541122,3.9922896833980785,0.045968569815158844,0.021889338653315518,0.09074495919048786,2.792634427547455,0.001,0.2
5,1.4147075484780705,0.06919856588630115,3.547325274523567,0.03882383511346929,0.01792031488216975,0.08987185545265675,2.880106508731842,0.001,0.25
6,1.6506780526217293,0.06311162626918625,3.8761644573772656,0.035794065169551796,0.016011900213711402,0.08854815922677517,23.708378791809082,0.001,0.3
7,1.893895801375894,0.06119081115021425,3.742809947799234,0.02797612569787923,0.011835782076506055,0.07727881893515587,6.487644195556641,0.001,0.35
8,2.185481436112348,0.06156622662263758,3.71994448409361,0.028507961836807868,0.012439234675291707,0.08571087941527367,2.585190087556839,0.001,0.4
9,2.448052532532636,0.05964980690794833,3.8550035813275505,0.025191140963750726,0.00927675624980646,0.08856001496315002,6.053508520126343,0.001,0.45
10,2.642703561221852,0.05974580566672718,3.609886849627775,0.022694061126779106,0.008021601174464998,0.07993736490607262,12.406784772872925,0.001,0.5
11,3.0424756302553067,0.05892972450922517,4.0668427383198456,0.02112977283404154,0.006322452743702075,0.08751639351248741,1.6379325836896896,0.001,0.55
12,3.16750766249264,0.057764549246605706,3.2931048168855557,0.020891897051649934,0.005896911189398345,0.08661089278757572,1.3344783633947372,0.001,0.6
13,3.532829859677483,0.058989555739304596,4.118265790097854,0.020302367780138466,0.005088315427522449,0.09802415780723095,6.960543870925903,0.001,0.65
